signature,support,majority_label,majority_count,purity,n_labels,is_deterministic,label_counts
"(1, 0, 0, 3, 2, 3, 0, 3, 0, 0, 1, 0, 0, 1, 2, 3, 3, 0)",13,40,11,0.8461538461538461,3,False,"{40: 11, 42: 1, 21: 1}"
"(0, 3, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1)",13,0,9,0.6923076923076923,2,False,"{0: 9, 39: 4}"
"(0, 3, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",13,22,9,0.6923076923076923,2,False,"{22: 9, 48: 4}"
"(1, 2, 1, 0, 1, 0, 1, 2, 1, 1, 1, 1, 1, 0, 2, 0, 1, 2)",13,18,8,0.6153846153846154,2,False,"{18: 8, 27: 5}"
"(0, 1, 0, 3, 1, 2, 0, 3, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0)",13,31,8,0.6153846153846154,5,False,"{31: 8, 21: 2, 45: 1, 32: 1, 7: 1}"
"(0, 3, 1, 0, 2, 0, 1, 2, 1, 1, 1, 1, 1, 0, 1, 1, 1, 2)",13,6,8,0.6153846153846154,5,False,"{6: 8, 20: 2, 48: 1, 39: 1, 15: 1}"
"(1, 3, 0, 0, 2, 0, 0, 3, 0, 0, 1, 0, 0, 0, 1, 0, 1, 2)",13,6,7,0.5384615384615384,4,False,"{6: 7, 15: 4, 39: 1, 48: 1}"
"(0, 0, 3, 0, 1, 1, 3, 0, 3, 3, 0, 3, 3, 0, 0, 0, 0, 3)",13,49,7,0.5384615384615384,3,False,"{49: 7, 17: 5, 2: 1}"
"(0, 3, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0)",13,0,7,0.5384615384615384,2,False,"{0: 7, 39: 6}"
"(0, 1, 3, 0, 2, 1, 3, 0, 3, 3, 0, 3, 3, 1, 0, 1, 0, 2)",13,49,6,0.46153846153846156,4,False,"{49: 6, 17: 4, 8: 2, 2: 1}"
"(1, 3, 1, 0, 1, 0, 1, 3, 1, 1, 0, 1, 1, 0, 0, 0, 1, 2)",13,36,5,0.38461538461538464,5,False,"{36: 5, 27: 4, 22: 2, 48: 1, 41: 1}"
"(0, 3, 1, 0, 1, 0, 1, 3, 1, 1, 0, 1, 1, 0, 0, 0, 1, 2)",13,36,5,0.38461538461538464,5,False,"{36: 5, 48: 3, 22: 2, 6: 2, 20: 1}"
"(2, 1, 0, 3, 2, 3, 0, 3, 0, 0, 1, 0, 0, 0, 2, 3, 1, 1)",12,12,12,1.0,1,True,{12: 12}
"(2, 1, 1, 3, 2, 3, 1, 3, 1, 1, 0, 1, 1, 0, 2, 3, 1, 0)",12,14,12,1.0,1,True,{14: 12}
"(1, 1, 0, 2, 1, 3, 0, 3, 0, 0, 1, 0, 0, 0, 2, 2, 2, 1)",12,42,12,1.0,1,True,{42: 12}
"(0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 0, 0, 3, 0)",12,25,11,0.9166666666666666,2,False,"{25: 11, 9: 1}"
